GeneNames	Group
NFIA	Down
KCTD3	Down
EFNB3	Down
USP6NL	Down
ARHGAP35	Down
SMO	Down
MEIS1	Down
SPIN4	Down
PATZ1	Down
SPATA6	Down
CNTLN	Down
GSTM4	Down
PCIF1	Down
STAG1	Down
ZC3H4	Down
ICE1	Down
CREBBP	Down
PDS5B	Down
ASCC1	Down
ARID2	Down
C2CD5	Down
TRDMT1	Down
RHNO1	Down
SCOC	Up
SUSD6	Up
CHMP5	Up
TOLLIP	Up
UFM1	Up
SLC10A3	Up
ADPGK	Up
ZBTB7A	Up
ZNHIT1	Up
DDA1	Up
DYNLT3	Up
POFUT2	Up
B4GALT7	Up
TAF13	Up
TMEM87B	Up
FAM214B	Up
P4HA2	Up
NOL3	Up
ACADVL	Up
GBE1	Up
KLC1	Up
BCL2L2	Up
DGKA	Up
RAI14	Up
PLXNA3	Up
PDLIM4	Up
MT-CYB	Up
TSPAN13	Up
SLC16A3	Up
CCND1	Up
PLK3	Up
GDNF	Up
