NAME	PHASE
H2AFN	S phase
H2BFL	S phase
H4F2	S phase
H4FH	S phase
H4FJ	S phase
MGC3165	S phase
SLC22A3	S phase
NFE2L2	S phase
MAP3K2	S phase
OGT	S phase
SH3GL2	S phase
CAPS	S phase
SFRS5	S phase
MAN1A2	S phase
RPS25	S phase
USP1	S phase
ZNF217	S phase
SHC1	S phase
ABCC2	S phase
TYMS	S phase
RAD54L	S phase
STAG3	S phase
PKMYT1	S phase
ASIP	S phase
ORC3L	S phase
PRIM1	S phase
PRIM2A	S phase
RFC4	S phase
RPA2	S phase
CDC45L	S phase
FANCA	S phase
PIR51	S phase
EXO1	S phase
RAD51	S phase
BRCA1	S phase
RBBP8	S phase
FEN1	S phase
MBD4	S phase
DNA2L	S phase
PCAF	S phase
COL7A1	S phase
LMO4	S phase
CDC7L1	S phase
CHML	S phase
DNAJB4	S phase
GCLM	S phase
EGFL5	S phase
AA452872	S phase
EZH2	S phase
FLJ20159	S phase
DKFZP434B168	S phase
FLJ10604	S phase
H53763	S phase
AA600222	S phase
ABCC5	S phase
BBS2	S phase
BMI1	S phase
C8orf1	S phase
CDH24	S phase
DHFR	S phase
DKFZP564F013	S phase
DNAJC6	S phase
EIF4A2	S phase
EIF4EBP2	S phase
FLJ10466	S phase
FLJ10512	S phase
FLJ10545	S phase
FLJ10719	S phase
FLJ10980	S phase
FLJ11021	S phase
FLJ11127	S phase
FLJ11342	S phase
FLJ12788	S phase
FLJ12888	S phase
FLJ12892	S phase
FLJ13110	S phase
FLJ13181	S phase
FLJ13231	S phase
FLJ14813	S phase
FLJ20280	S phase
FLJ22609	S phase
FLJ23311	S phase
FLJ23468	S phase
H1F0	S phase
H4FG	S phase
H4FI	S phase
HCNGP	S phase
HELLS	S phase
HSPC150	S phase
HSPC157	S phase
HSPC207	S phase
HSRTSBETA	S phase
HT023	S phase
KIAA0101	S phase
KIAA0197	S phase
KIAA0841	S phase
KIAA0855	S phase
KIAA0856	S phase
KIAA0878	S phase
KIAA0916	S phase
KIAA1382	S phase
KIAA1598	S phase
KIAA1716	S phase
LOC51141	S phase
LOC58486	S phase
MGC5254	S phase
MGC5302	S phase
MGC861	S phase
MITF	S phase
NAB1	S phase
PMS2L8	S phase
POLA	S phase
RAD18	S phase
RFC2	S phase
RRM1	S phase
RRM2	S phase
TASR2	S phase
UBL3	S phase
ZWINT	S phase
MCM4	S phase
GINS2	S phase
CDCA7	S phase
DTL	S phase
UHRF1	S phase
MLF1IP	S phase
RAD51AP1	S phase
GMNN	S phase
WDR76	S phase
UBR7	S phase
ATAD2	S phase
CDC45	S phase
TIPIN	S phase
DSCC1	S phase
BLM	S phase
CLSPN	S phase
POLA1	S phase
BRIP1	S phase
E2F8	S phase
AP4B1	G1/S
TCFL1	G1/S
CASP8AP2	G1/S
SFRS7	G1/S
SLBP	G1/S
NS1-BP	G1/S
ZNF265	G1/S
CHAF1A	G1/S
CHAF1B	G1/S
RUNX1	G1/S
CCNE2	G1/S
TOP3A	G1/S
ACYP1	G1/S
TLOC1	G1/S
INSR	G1/S
MCM5	G1/S
ORC1L	G1/S
POLD3	G1/S
CDC6	G1/S
MSH2	G1/S
PCNA	G1/S
UNG	G1/S
RECQL4	G1/S
FANCG	G1/S
NASP	G1/S
TOPBP1	G1/S
MAP2K6	G1/S
LOC51053	G1/S
BAIAP2	G1/S
ZNF183	G1/S
ICBP90	G1/S
ADAMTS1	G1/S
HRAS	G1/S
E2F1	G1/S
MCM2	G1/S
DDX11	G1/S
MNT	G1/S
CDC25A	G1/S
HSF2	G1/S
HLXB9	G1/S
DNAJC3	G1/S
MCAM	G1/S
PNN	G1/S
FLJ20004	G1/S
R89286	G1/S
FLJ23053	G1/S
hypothetical	G1/S
CTSD	G1/S
SDC1	G1/S
AI204264	G1/S
AA928536	G1/S
ABCA7	G1/S
ADCY6	G1/S
AP3M2	G1/S
APEXL2	G1/S
BARD1	G1/S
BRD7	G1/S
CAPN7	G1/S
CCNE1	G1/S
CCRK	G1/S
CLASPIN	G1/S
DJ37E16.5	G1/S
DJ465N24.2.1	G1/S
DKFZP434A1315	G1/S
DKFZp762L0311	G1/S
DMTF1	G1/S
DNAJB9	G1/S
ESD	G1/S
FLJ10154	G1/S
FLJ10339	G1/S
FLJ10483	G1/S
FLJ10618	G1/S
FLJ11323	G1/S
FLJ11626	G1/S
FLJ11729	G1/S
FLJ13287	G1/S
FLJ13912	G1/S
FLJ14761	G1/S
FLJ20008	G1/S
FLJ20093	G1/S
FLJ20516	G1/S
FLJ20530	G1/S
HOXB4	G1/S
HSU53209	G1/S
JPO1	G1/S
KIAA0135	G1/S
KIAA1008	G1/S
KIAA1350	G1/S
KIAA1586	G1/S
LCHN	G1/S
LENG8	G1/S
LOC51003	G1/S
LOC51055	G1/S
LOC51218	G1/S
LOC51240	G1/S
LOC51659	G1/S
LOC54104	G1/S
LRRFIP1	G1/S
LUC7A	G1/S
MCM6	G1/S
MGC15482	G1/S
MGC15716	G1/S
MGC3207	G1/S
NKTR	G1/S
NPAT	G1/S
ORP6	G1/S
PNAS-127	G1/S
PP591	G1/S
RAB23	G1/S
RAMP	G1/S
SERPINB3	G1/S
SSR3	G1/S
TREX1	G1/S
UBQLN2	G1/S
ZF	G1/S
HRB	M/G1
KPNB1	M/G1
PSCD3	M/G1
RNUT1	M/G1
TIP47	M/G1
LOC51042	M/G1
NFIC	M/G1
TRIP8	M/G1
TSC22	M/G1
ZNF281	M/G1
SGK	M/G1
HIF1A	M/G1
PRKAR1A	M/G1
GNB1	M/G1
VEGFC	M/G1
PLAB	M/G1
G3BP	M/G1
RHEB2	M/G1
NSAP1	M/G1
DKC1	M/G1
E2-EPF	M/G1
EIF4E	M/G1
TUSP	M/G1
NCOA3	M/G1
PTTG1	M/G1
MDM2	M/G1
CRK	M/G1
PPP2CA	M/G1
LBC	M/G1
PLU-1	M/G1
NUDT4	M/G1
RAN	M/G1
KMO	M/G1
PTMS	M/G1
RAD21	M/G1
HMGCR	M/G1
PIN	M/G1
DSP	M/G1
TOB2	M/G1
CDKN3	M/G1
PRC1	M/G1
FABP1	M/G1
RAB3A	M/G1
VCL	M/G1
PDGFA	M/G1
FXR1	M/G1
PSEN1	M/G1
CDK7	M/G1
KRAS2	M/G1
CD24	M/G1
C4B	M/G1
AOC2	M/G1
CRYBA1	M/G1
AOC3	M/G1
TROAP	M/G1
AA548037	M/G1
AMD1	M/G1
W85890	M/G1
AA598795	M/G1
FREQ	M/G1
KIAA0952	M/G1
AFAP	M/G1
BAG3	M/G1
BITE	M/G1
C11orf23	M/G1
C1orf2	M/G1
CBX3	M/G1
CDC42	M/G1
D10S170	M/G1
DKFZp434D1428	M/G1
DNAJB6	M/G1
FBI1	M/G1
FLJ10422	M/G1
FLJ11269	M/G1
FLJ13046	M/G1
FLJ13154	M/G1
FLJ20094	M/G1
FLJ20425	M/G1
FLJ20624	M/G1
FLJ20847	M/G1
H2BFQ	M/G1
HDCMA18P	M/G1
HLA-DNA	M/G1
HMGE	M/G1
HSPC148	M/G1
HSPC163	M/G1
ILF2	M/G1
KIAA0026	M/G1
KIAA0155	M/G1
KIAA0586	M/G1
KIAA1265	M/G1
KIAA1404	M/G1
LOC114223	M/G1
LOC51170	M/G1
LOC51334	M/G1
LOC51578	M/G1
LOC56996	M/G1
MGC10850	M/G1
MGC19556	M/G1
MGC2306	M/G1
MGC4161	M/G1
MGC4604	M/G1
MGC5338	M/G1
MGC5585	M/G1
MRPL19	M/G1
MRPS18B	M/G1
MRPS2	M/G1
MYLE	M/G1
NFIA	M/G1
NXF1	M/G1
PPP3CA	M/G1
RNTRE	M/G1
RPL13A	M/G1
SNK	M/G1
STAG1	M/G1
TEM8	M/G1
TERA	M/G1
TOMM70A	M/G1
WS-3	M/G1
ZPBP	M/G1
PPP1R10	G2/M
RERE	G2/M
SLC17A2	G2/M
TRIP13	G2/M
BTEB1	G2/M
CTCF	G2/M
DR1	G2/M
PWP1	G2/M
MAPK13	G2/M
SRF	G2/M
ITPR1	G2/M
DUSP4	G2/M
BIRC2	G2/M
CIT	G2/M
GPRK6	G2/M
HSU54999	G2/M
TXNRD1	G2/M
YWHAH	G2/M
RNPS1	G2/M
SFPQ	G2/M
PTPN9	G2/M
SPS	G2/M
TSG101	G2/M
USP13	G2/M
DSCR1	G2/M
CSH2	G2/M
OLR1	G2/M
INDO	G2/M
TFF3	G2/M
NUP98	G2/M
TTK	G2/M
PTP4A1	G2/M
BUB1	G2/M
HMMR	G2/M
TACC3	G2/M
BIRC5	G2/M
MLLT4	G2/M
P37NB	G2/M
SKIP	G2/M
SSP29	G2/M
PRPSAP1	G2/M
STK15	G2/M
PLK	G2/M
CENPE	G2/M
CENPF	G2/M
KNSL6	G2/M
BUB1B	G2/M
C20orf1	G2/M
NEK2	G2/M
CDC25B	G2/M
ADH4	G2/M
ME3	G2/M
RAD51C	G2/M
TSN	G2/M
SMARCD1	G2/M
SMARCB1	G2/M
TGIF	G2/M
SRD5A1	G2/M
LMNA	G2/M
SMTN	G2/M
CDKN2D	G2/M
FRZB	G2/M
HMG4	G2/M
MSE55	G2/M
BMP2	G2/M
GAS6	G2/M
CDC27	G2/M
CKS2	G2/M
TOM34	G2/M
CENPA	G2/M
CNN2	G2/M
GADD45A	G2/M
USP16	G2/M
CDC20	G2/M
MKI67	G2/M
E2F5	G2/M
FOXM1	G2/M
ARHGDIB	G2/M
C6	G2/M
CD97	G2/M
CTNND1	G2/M
FYN	G2/M
GCSH	G2/M
GOT1	G2/M
TRAP150	G2/M
