Symbol	Author	Journal	LociNumber
ADAMTS4	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
CR1	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
SPRED2	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
NCK2	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
BIN1	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
TMEM163	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
INPP5D	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
CLNK	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
HLA-DRB1	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
UNC5CL	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
CD2AP	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
SPATA48	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
PILRA	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
EPHA1	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
CLU	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
ECHDC3	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
CCDC6	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
TSPAN14	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
SPI1	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
MS4A6E	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
PICALM	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
SORL1	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
FERMT2	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
SLC24A4	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
SPPL2A	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
ADAM10	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
APH1B	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
KAT8	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
PLCG2	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
SCIMP	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
TSPOAP1	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
ACE	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
ABCA7	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
APOE	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
CD33	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
CASS4	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
ADAMTS1	Jeremy Schwartzentruber-2021	https://www.nature.com/articles/s41588-020-00776-w	Identified 37 risk loci
ABCA1	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
ADAM17	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
ANK3	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
ANKH	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
APP	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
BLNK	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
COX7C	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
CTSB	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
CTSH	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
DOC2A	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
FOXF1	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
GRN	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
HS3ST5	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
ICA1	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
IDUA	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
IGHG1	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
IGHG3	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
JAZF1	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
KLF16	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
LILRB2	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
MAF	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
MME	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
MYO15A	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
NCK2	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
PLEKHA1	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
PRDM7	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
PRKD3	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
RASGEF1C	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
RBCK1	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
RHOH	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
SEC61G	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
SHARPIN	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
SIGLEC11	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
SLC2A4RG	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
SNX1	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
TMEM106B	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
TNIP1	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
TPCN1	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
TSPAN14	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
UMAD1	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
WDR12	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
WDR81	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Identified 42 risk loci
CR1	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Validated 39 known loci
BIN1	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Validated 39 known loci
INPP5D	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Validated 39 known loci
CLNK	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Validated 39 known loci
HLA-DQA1	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Validated 39 known loci
UNC5CL	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Validated 39 known loci
TREM2	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Validated 39 known loci
TREM2	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Validated 39 known loci
TREML2	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Validated 39 known loci
CD2AP	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Validated 39 known loci
EPDR1	Céline Bellenguez-2020	https://www.nature.com/articles/s41588-022-01024-z	Validated 39 known loci
