Symbol	Group
AIM2	IN PRIMERS
CLEC4E	IN PRIMERS
CLEC7A	IN PRIMERS
CLEC10A	IN PRIMERS
DDX58	IN PRIMERS
IRF3	IN PRIMERS
NLRP3	IN PRIMERS
PYCARD	IN PRIMERS
TLR1	IN PRIMERS
TLR2	IN PRIMERS
TLR3	IN PRIMERS
TLR5	IN PRIMERS
TLR7	IN PRIMERS
TLR8	IN PRIMERS
TLR9	IN PRIMERS
TLR10	IN PRIMERS
B2M	MHC CLASS I
TAP1	MHC CLASS I
TAP2	MHC CLASS I
MICA	MHC CLASS I
MICB	MHC CLASS I
TAPBP	MHC CLASS I
HLA-A	MHC CLASS I
HLA-B	MHC CLASS I
HLA-C	MHC CLASS I
HLA-E	MHC CLASS I
HLA-F	MHC CLASS I
HLA-G	MHC CLASS I
HLA-DPA1	MHC CLASS II
HLA-DPB1	MHC CLASS II
HLA-DQA1	MHC CLASS II
HLA-DQA2	MHC CLASS II
HLA-DQB1	MHC CLASS II
HLA-DRA	MHC CLASS II
HLA-DMA	MHC CLASS II
HLA-DMB	MHC CLASS II
HLA-DOA	MHC CLASS II
HLA-DOB	MHC CLASS II
BTNL8	CO-STIMULATOR
CD226	CO-STIMULATOR
CD27	CO-STIMULATOR
CD28	CO-STIMULATOR
CD58	CO-STIMULATOR
CD70	CO-STIMULATOR
CD80	CO-STIMULATOR
CD86	CO-STIMULATOR
HAVCR1	CO-STIMULATOR
ICOS	CO-STIMULATOR
ICOSLG	CO-STIMULATOR
SLAMF1	CO-STIMULATOR
TMIGD2	CO-STIMULATOR
TNFRSF13B	CO-STIMULATOR
TNFRSF13C	CO-STIMULATOR
TNFRSF18	CO-STIMULATOR
TNFRSF4	CO-STIMULATOR
TNFRSF8	CO-STIMULATOR
TNFRSF9	CO-STIMULATOR
TNFSF13	CO-STIMULATOR
TNFSF13B	CO-STIMULATOR
TNFSF15	CO-STIMULATOR
TNFSF18	CO-STIMULATOR
TNFSF4	CO-STIMULATOR
TNFSF8	CO-STIMULATOR
TNFSF9	CO-STIMULATOR
BTN2A2	CO-INHIBITOR
BTN3A1	CO-INHIBITOR
CD274	CO-INHIBITOR
CD48	CO-INHIBITOR
CTLA4	CO-INHIBITOR
HAVCR2	CO-INHIBITOR
LAG3	CO-INHIBITOR
LAIR1	CO-INHIBITOR
PDCD1	CO-INHIBITOR
PDCD1LG2	CO-INHIBITOR
TIGIT	CO-INHIBITOR
VTCN1	CO-INHIBITOR
