HGNCID	Symbol	ChLocation	Chromosome	EnsemblID	GeneID
35	HGNC:220	ADAMTS4	1q23.3	1	ENSG00000158859	9507
60	HGNC:329	AGRN	1p36.33	1	ENSG00000188157	375790
524	HGNC:2334	CR1	1q32.2	1	ENSG00000203710	1378
4355	HGNC:195	ADAM17	2p25.1	2	ENSG00000151694	6868
4505	HGNC:1052	BIN1	2q14.3	2	ENSG00000136717	274
5353	HGNC:6079	INPP5D	2q37.1	2	ENSG00000168918	3635
6020	HGNC:7665	NCK2	2q12.2	2	ENSG00000071051	8440
6262	HGNC:9408	PRKD3	2p22.2	2	ENSG00000115825	23683
7043	HGNC:17722	SPRED2	2p14	2	ENSG00000198369	200734
7151	HGNC:25380	TMEM163	2q21.3	2	ENSG00000152128	81615
7328	HGNC:14098	WDR12	2q33.2	2	ENSG00000138442	55759
8040	HGNC:4877	HESX1	3p14.3	3	ENSG00000163666	8820
8554	HGNC:7154	MME	3q25.2	3	ENSG00000196549	4311
10022	HGNC:17438	CLNK	4p16.1	4	ENSG00000109684	116449
10332	HGNC:5194	HS3ST1	4p15.33	4	ENSG00000002587	9957
10352	HGNC:5391	IDUA	4p16.3	4	ENSG00000127415	3425
10964	HGNC:686	RHOH	4p14	4	ENSG00000168421	399
11684	HGNC:15492	ANKH	5p15.2	5	ENSG00000154122	56172
11879	HGNC:2292	COX7C	5q14.3	5	ENSG00000127184	1350
12153	HGNC:18437	HAVCR2	5q33.3	5	ENSG00000135077	84868
12497	HGNC:6996	MEF2C	5q14.3	5	ENSG00000081189	4208
12939	HGNC:27400	RASGEF1C	5q35.3	5	ENSG00000146090	255426
13523	HGNC:16903	TNIP1	5q33.1	5	ENSG00000145901	10318
13842	HGNC:14258	CD2AP	6p12.3	6	ENSG00000198087	23607
14335	HGNC:4942	HLA-DQA1	6p21.32	6	ENSG00000196735	3117
14342	HGNC:4948	HLA-DRB1	6p21.32	6	ENSG00000196126	3123
14346	HGNC:4953	HLA-DRB5	6p21.32	6	ENSG00000198502	3127
14394	HGNC:19419	HS3ST5	6q21-q22.1	6	ENSG00000249853	222537
15816	HGNC:17761	TREM2	6p21.1	6	ENSG00000095970	54209
15818	HGNC:21092	TREML2	6p21.1	6	ENSG00000112195	79865
16008	HGNC:21203	UNC5CL	6p21.1	6	ENSG00000124602	222643
16331	HGNC:13830	CNTNAP2	7q35-q36.1	7	ENSG00000174469	26047
16485	HGNC:17572	EPDR1	7p14.1	7	ENSG00000086289	54749
