Ensemble	Symbol	Chr	Start	End	Type	Length8FeatureCount
ENSG00000250006	CTB-179I1.1	chr4	77311397	77312111	processed_pseudogene	715
ENSG00000268947	AD000684.2	chr19	35262846	35264804	lncRNA	1016
ENSG00000234805	AC090505.5	chr3	194755589	194757422	processed_pseudogene	1834
ENSG00000265994	RP11-510D21.1	chr18	28638714	28789580	lncRNA	965
ENSG00000250777	RP13-884E18.4	chr4	137690477	137734977	lncRNA	1641
ENSG00000267441	RP1-37N7.5	chr17	18388871	18389459	processed_pseudogene	589
ENSG00000122043	LINC00544	chr13	29935771	29950488	lncRNA	1981
ENSG00000198846	TOX	chr8	58805412	59119147	protein_coding	4076
ENSG00000122068	FYTTD1	chr3	197737179	197787596	protein_coding	7897
ENSG00000257408	RP11-645C24.4	chr16	21938865	21944987	transcribed_unprocessed_pseudogene	666
ENSG00000228264	PSMD8P1	chr1	154414369	154415137	processed_pseudogene	769
ENSG00000257738	RP11-139E19.2	chr12	45200817	45201551	processed_pseudogene	735
ENSG00000163161	ERCC3	chr2	127257290	127294166	protein_coding	8412
ENSG00000104643	MTMR9	chr8	11284816	11328146	protein_coding	8404
ENSG00000283427	RP4-614C10.1	chr2	89533185	89547106	unprocessed_pseudogene	1252
ENSG00000226183	RANP7	chr3	22904135	22905151	processed_pseudogene	644
ENSG00000120616	EPC1	chr10	32267751	32378798	protein_coding	11286
ENSG00000112164	GLP1R	chr6	39048781	39091303	protein_coding	6682
ENSG00000240563	L1TD1	chr1	62194849	62212328	protein_coding	3831
ENSG00000225144	AC018643.4	chr7	132264152	132271269	lncRNA	414
ENSG00000213022	KLK9	chr19	51002508	51009634	protein_coding	1443
ENSG00000252903	RNU6-894P	chrX	31348192	31348296	snRNA	105
ENSG00000199787	SNORA80C	chr16	30419625	30419759	snoRNA	135
ENSG00000284299	RP11-434N15.2	chr1	210858125	211134146	protein_coding	4652
ENSG00000230587	LINC02580	chr2	43092530	43132482	lncRNA	3092
ENSG00000187005	KRTAP21-1	chr21	30755015	30755428	protein_coding	414
ENSG00000225147	RPS12P10	chr5	142566700	142567076	processed_pseudogene	377
ENSG00000259087	RP11-356O9.2	chr14	37556158	37567095	lncRNA	532
ENSG00000273904	Hammerhead_HH10	chr10	114168156	114168280	ribozyme	125
ENSG00000262652	RP13-638C3.2	chr17	82578023	82578616	lncRNA	594
ENSG00000202147	RNA5SP329	chr11	6016996	6017114	rRNA_pseudogene	119
ENSG00000260182	RP11-616M22.5	chr16	1257339	1258074	lncRNA	249
ENSG00000006282	SPATA20	chr17	50543058	50555852	protein_coding	5337
ENSG00000255663	RP11-212D19.4	chr11	114400682	114443932	protein_coding	729
ENSG00000225046	RP1-20I3.3	chrX	130330857	130331069	processed_pseudogene	213
ENSG00000241625	RN7SL18P	chr2	62491178	62491468	misc_RNA	291
ENSG00000254219	GS1-251I9.2	chr8	91042690	91044762	lncRNA	616
ENSG00000196767	POU3F4	chrX	83508290	83512127	protein_coding	3838
ENSG00000268754	LINC01081	chr16	86221420	86301303	lncRNA	2001
ENSG00000236022	RP11-160E2.16	chr17	19203825	19214045	lncRNA	699
ENSG00000269194	AC006942.4	chr19	49808933	49809738	lncRNA	520
ENSG00000280364	RP3-446N13.2	chr12	126106459	126107047	TEC	589
ENSG00000253117	OC90	chr8	132024216	132059382	protein_coding	1788
ENSG00000159459	UBR1	chr15	42942897	43106113	protein_coding	9928
ENSG00000229887	HNRNPA1P6	chr1	58047889	58049335	transcribed_unprocessed_pseudogene	1447
ENSG00000229824	RPL12P34	chr13	68654572	68655050	processed_pseudogene	479
ENSG00000259997	IGHV1OR16-4	chr16	33002333	33002621	IG_V_pseudogene	205
ENSG00000263089	RP11-166P13.4	chr17	57092145	57096425	lncRNA	4281
ENSG00000105939	ZC3HAV1	chr7	139043515	139132122	protein_coding	8466
ENSG00000161249	DMKN	chr19	35497220	35513658	protein_coding	7444
ENSG00000267703	CTD-2013N17.4	chr19	16440946	16443584	lncRNA	401
ENSG00000250582	SMAD1-AS2	chr4	145497073	145502971	lncRNA	1090
ENSG00000140948	ZCCHC14	chr16	87406246	87493024	protein_coding	8369
ENSG00000171956	FOXB1	chr15	60004234	60061730	protein_coding	3606
ENSG00000276412	RP11-157L3.13	chr9	41651658	41654594	lncRNA	1059
ENSG00000270402	CTC-412M14.5	chr19	19708965	19710465	processed_pseudogene	617
ENSG00000285791	RP11-346I3.5	chr8	66432486	66518524	protein_coding	4999
ENSG00000259499	RP11-616K22.2	chr15	44387320	44390451	lncRNA	655
ENSG00000279437	RP3-326L13.2	chrX	83506023	83509214	TEC	3192
ENSG00000206604	RNU6-425P	chr3	142145454	142145555	snRNA	102
ENSG00000179452	LINC01699	chr1	181236388	181238604	lncRNA	259
ENSG00000243725	TTC4	chr1	54715861	54742657	protein_coding	3488
ENSG00000261748	RP11-419L9.1	chr16	16952502	16953468	processed_pseudogene	967
ENSG00000152942	RAD17	chr5	69369293	69414801	protein_coding	4159
ENSG00000254788	CKLF-CMTM1	chr16	66552587	66579135	protein_coding	1413
ENSG00000157470	FAM81A	chr15	59372693	59523555	protein_coding	5571
ENSG00000260122	RP11-923I11.3	chr12	51809705	51810600	lncRNA	896
ENSG00000099942	CRKL	chr22	20917407	20953747	protein_coding	5342
ENSG00000249731	RP11-259O2.3	chr5	1968094	1969013	lncRNA	560
ENSG00000223177	RNA5SP39	chr13	108301212	108301331	rRNA_pseudogene	120
ENSG00000224980	RPL23AP85	chr1	56585612	56586242	processed_pseudogene	433
ENSG00000225387	RP11-422P22.1	chr1	18385829	18388514	lncRNA	491
ENSG00000236911	RP11-78B10.2	chr1	207551925	207606555	lncRNA	1506
ENSG00000109501	WFS1	chr4	6269849	6303265	protein_coding	6369
ENSG00000238759	RNU7-155P	chr17	71298156	71298218	snRNA	63
ENSG00000256678	RP11-611O2.2	chr12	68805011	68805479	processed_pseudogene	469
ENSG00000283845	MIR4721	chr16	28843919	28844007	miRNA	89
ENSG00000133704	IPO8	chr12	30628988	30695869	protein_coding	6809
ENSG00000286217	LINC00279	chrY	8550518	8713825	lncRNA	14830
ENSG00000234156	RP11-542K23.7	chr9	122403407	122639685	lncRNA	6010
ENSG00000226444	ACTR3BP7	chr22	11124337	11125705	processed_pseudogene	1241
ENSG00000285833	RP11-149P14.2	chr1	11500803	11502016	lncRNA	1051
ENSG00000274398	RP11-322A17.3	chrX	76250183	76251796	processed_pseudogene	1614
ENSG00000219549	RP11-374I15.1	chr6	95630115	95632929	processed_pseudogene	499
ENSG00000228748	RP13-39P12.3	chr10	77782866	77793176	lncRNA	3532
ENSG00000089250	NOS1	chr12	117208142	117452170	protein_coding	13113
ENSG00000272982	RP5-1180E21.4	chr1	111181374	111181491	lncRNA	118
ENSG00000221763	MIR1289-1	chr20	35453954	35454097	miRNA	144
ENSG00000226115	AP001476.3	chr21	46056516	46057567	lncRNA	355
ENSG00000102144	PGK1	chrX	77910739	78129295	protein_coding	5437
ENSG00000286992	RP11-831A10.4	chr11	119976111	120009588	lncRNA	1087
ENSG00000280222	RP11-174G17.3	chr1	18109389	18115861	TEC	6473
